RAg Ram Ras  Decg Decm Decs   GIN  Name    m    Type    Dn     e      Re         <SBe>   BTot         SBe     B-R     AR      KR      KB     D/B    ReB         mueB    h          mu0 
18 36 51.6  +51 26 03  656  J27       D  S     20.22   1.95   5.11        19.50  14.10        20.57  99.999   0.099   0.010   0.123   1.94   1.80       19.80   4.07       19.45
18 36 52.4  +51 31 50  657  J27       E  E/S0  19.60  99.99   4.89        19.33  14.03        20.89   1.527   0.085   0.032   0.162   0.74   1.87       19.24   7.03       21.05
21 41 04.1  -16 41 40  658  J38       A  cD    30.58   0.92  11.95        20.10  12.94        21.52   1.539   0.106   0.052   0.259   0.42   7.29       20.81  15.88       22.05
21 40 57.6  -16 42 57  659  J38       B  E/S0  21.75  99.99   6.46        19.69  13.86        20.93   1.473   0.106   0.049   0.247   0.33   5.41       21.00   5.26       20.77
21 42 16.0  -16 56 20  660  J38       C  S     11.45   2.39  12.50        21.28  14.01        22.07  99.999   0.073   0.017   0.211  12.55   1.74       21.22   7.96       20.38
21 42 01.7  -16 54 13  661  J38       1  E/S0  11.48   0.01   7.81        20.89  14.65        21.89  99.999   0.068   0.050   0.249   3.01   1.98       20.81   5.85       20.58
22 50 02.2  +11 41 54  662  P522-1    A  cD    48.02   0.72  16.96        19.97  11.94        21.26   1.602   0.089   0.024   0.122   0.95   7.36       20.27  17.07       20.76
22 49 54.6  +11 36 29  663  P522-1    B  cD    54.57   0.43  28.29        20.56  11.41        21.95   1.554   0.089   0.026   0.131   0.03  29.56       22.08   6.95       21.37
22 49 25.4  +11 35 33  664  P522-1    C  S     16.44   0.37   3.85        19.23  14.42        20.63   1.449   0.080   0.008   0.100   0.01   3.85       20.63   1.00       22.04
22 49 35.6  +11 33 23  665  P522-1    D  S     31.06   0.42   7.74        19.34  13.01        20.73   1.526   0.080   0.009   0.103  99.99  99.99       99.99  99.99       99.99
22 49 46.1  +11 33 09  666  P522-1    E  E     16.07   0.24   5.55        19.90  14.30        21.30   1.569   0.080   0.024   0.122  99.99  99.99       99.99  99.99       99.99
22 50 19.7  +11 31 52  667  P522-1    F  S     20.49   0.28   9.08        20.31  13.64        21.70   1.528   0.089   0.009   0.108  99.99  99.99       99.99  99.99       99.99
22 50 17.6  +11 38 12  668  P522-1    G  E/S0  28.71   0.24   5.51        18.89  13.30        20.27   1.515   0.089   0.024   0.119   0.16   4.64       20.07   6.78       21.52
22 51 28.3  +11 37 54  669  P522-1    1  E     19.58   0.05   4.24        19.09  14.07        20.49   1.541   0.104   0.025   0.126  99.99  99.99       99.99  99.99       99.99
22 51 09.1  +11 15 19  670  P522-1    2  E     11.88  99.99   5.27        20.31  15.04        21.71  99.999   0.085   0.080   0.399  99.99  99.99       99.99  99.99       99.99
22 49 21.6  +11 55 56  671  P522-1    3  S      4.85  99.99   8.78        21.41  14.80        22.12  99.999   0.089   0.008   0.101  64.22   1.07       22.76   5.30       20.32
22 49 10.4  +11 32 59  672  P522-1    4  S     15.34   0.50   6.43        20.28  14.35        21.18  99.999   0.080   0.008   0.099   4.26   1.84       20.76   4.44       19.70
22 48 55.6  +11 20 32  673  P522-1    5  S      8.00   0.93   3.92        20.48  15.89        21.30  99.999   0.075   0.029   0.355   5.15   1.95       22.33   2.51       19.70
23 18 43.5  +18 41 54  674  A2572     A  E/S0  26.02   0.26   8.11        19.69  13.32        21.30   1.502   0.080   0.039   0.197   0.60   3.52       19.78  13.63       21.90
23 18 33.3  +18 44 58  675  A2572     B  E     21.94   0.23   4.95        19.16  13.86        20.56   1.472   0.080   0.038   0.190  99.99  99.99       99.99  99.99       99.99
23 18 30.3  +18 41 20  676  A2572     C  cD    31.83   0.59  17.63        20.65  12.59        21.96   1.605   0.080   0.038   0.188   1.07   6.76       20.76  17.86       21.40
23 19 13.4  +18 54 41  677  A2572     D  S     15.94   0.09   5.43        19.87  14.37        21.37   1.598   0.070   0.012   0.146   0.90   1.87       19.65   6.88       21.20
23 17 21.5  +18 56 29  678  A2572     E  S      9.86  99.99   3.17        19.91  15.57        20.81  99.999   0.092   0.012   0.147   2.60   1.84       21.51   2.11       19.38
23 18 41.0  +18 41 14  679  A2572     1  E/S0   8.03  99.99   4.07        20.52  15.64        21.72  99.999   0.080   0.039   0.193   0.45   3.23       21.82   3.24       21.29
23 18 29.5  +18 37 16  680  A2572     2  E     11.12  99.99   1.74        18.49  15.46        19.89  99.999   0.092   0.040   0.201  99.99  99.99       99.99  99.99       99.99
23 23 57.5  +16 46 37  681  A2589     A  cD    29.95   0.29  21.51        21.00  12.52        22.15   1.595   0.029   0.041   0.206   0.86  12.92       21.96  17.98       21.45
23 23 59.3  +16 48 40  682  A2589     B  E/S0  17.75   0.24   3.47        18.93  14.41        20.24   1.483   0.029   0.043   0.213   0.11   3.38       20.38   2.34       20.60
23 23 48.3  +16 46 07  683  A2589     C  E/S0  15.16   0.15   3.21        19.10  14.74        20.37   1.457   0.029   0.047   0.236   0.21   2.89       20.47   2.54       20.48
23 23 54.5  +16 40 50  684  A2589     D  E/S0  13.64   0.21   5.20        20.06  14.66        21.50   1.454   0.029   0.045   0.226   0.34   3.41       20.85   7.53       22.36
23 23 51.5  +16 38 42  685  A2589     E  S     11.00   0.14   9.70        21.09  14.34        21.90  99.999   0.029   0.011   0.135   9.89   1.35       20.79   6.29       20.25
23 23 51.0  +16 53 48  686  A2589     F  E/S0  15.49   0.13   2.73        18.73  14.73        20.14  99.999   0.029   0.040   0.202   0.20   2.11       19.76   4.03       21.50
23 23 47.8  +16 51 08  687  A2589     G  E     11.16   0.15   3.65        19.81  15.18        21.20  99.999   0.029   0.042   0.209  99.99  99.99       99.99  99.99       99.99
23 23 59.1  +16 52 29  688  A2589     H  E/S0  10.48   0.12   4.12        20.08  15.18        21.88  99.999   0.029   0.045   0.224   0.70   1.36       19.64   8.31       22.56
23 24 19.7  +16 43 54  689  A2589     1  E/S0   8.87  99.99   6.09        21.02  15.28        22.58  99.999   0.029   0.045   0.222   1.00   1.76       20.47   7.92       22.35
23 23 10.7  +16 54 46  690  A2589     2  S      6.92  99.99   3.76        20.62  15.92        21.77  99.999   0.041   0.013   0.160   0.48   3.23       22.11   2.67       21.10
23 24 20.2  +14 38 48  691  A2593-N   A  cD    27.85   0.63  16.13        20.68  12.83        21.63   1.557   0.065   0.042   0.208   3.91   3.47       20.47  11.61       20.22
23 24 12.3  +14 37 07  692  A2593-N   B  E/S0  17.42   0.59   7.17        20.19  14.09        21.63   1.459   0.065   0.039   0.193   0.54   3.81       20.67   9.48       21.94
23 24 32.2  +14 38 20  693  A2593-N   C  E/S0  16.53   0.09   4.24        19.41  14.45        20.77   1.480   0.065   0.045   0.223   0.13   3.73       20.66   4.67       21.95
23 24 37.3  +14 38 32  694  A2593-N   D  E/S0  19.77   0.26   6.48        19.80  13.92        21.28   1.481   0.065   0.042   0.211   0.33   4.13       20.52  10.85       22.43
23 24 41.3  +14 37 58  695  A2593-N   E  E/S0  25.67   0.12   8.03        19.76  13.40        21.12  99.999   0.065   0.039   0.193   0.43   5.15       20.56   9.39       21.40
23 24 23.1  +14 39 30  696  A2593-N   F  E/S0  15.66   0.11   6.65        20.23  14.30        21.74   1.482   0.065   0.041   0.207   0.24   4.65       21.08  14.16       23.67
23 24 39.8  +14 40 01  697  A2593-N   G  S     10.68   0.21   4.26        20.16  15.20        21.39  99.999   0.065   0.013   0.153   0.44   3.25       21.37   3.61       21.08
23 24 35.8  +14 40 58  698  A2593-N   H  E     15.69   0.26   2.94        18.82  14.66        20.22   1.512   0.065   0.042   0.211  99.99  99.99       99.99  99.99       99.99
23 24 23.7  +14 42 24  699  A2593-N   I  E     18.02   0.13   4.08        19.17  14.30        20.57   1.503   0.065   0.041   0.205  99.99  99.99       99.99  99.99       99.99
23 24 12.1  +14 25 25  700  A2593-N   J  E/S0  16.73   0.19   7.66        20.36  14.13        21.71   1.502   0.061   0.042   0.210   0.19   6.43       21.56   8.21       22.52
23 24 42.9  +14 31 05  701  A2593-N   K  S     19.61  99.99   7.46        20.10  13.91        21.31  99.999   0.063   0.014   0.164   1.89   1.72       19.46   6.66       20.31
23 25 37.7  +14 34 25  702  A2593-N   L  E/S0  18.13   0.42   4.07        19.18  14.31        20.48   1.601   0.063   0.039   0.197   0.10   4.08       20.68   2.40       20.65
23 25 24.8  +14 45 23  703  A2593-N   M  E/S0  16.90   0.19   5.52        19.85  14.32        21.04   1.477   0.068   0.044   0.220   0.33   5.07       21.37   3.79       20.53
23 24 36.9  +14 35 00  704  A2593-N   1  E     14.67   0.37   2.63        18.74  14.83        20.14   1.410   0.065   0.039   0.195  99.99  99.99       99.99  99.99       99.99
23 24 28.3  +14 41 36  705  A2593-N   2  E     10.12   0.16   2.52        19.34  15.51        20.73  99.999   0.065   0.044   0.219  99.99  99.99       99.99  99.99       99.99
23 24 01.6  +14 28 53  706  A2593-N   3  E     12.68   0.64   2.84        19.15  15.28        20.55   1.339   0.061   0.093   0.464  99.99  99.99       99.99  99.99       99.99
23 23 33.6  +14 34 35  707  A2593-N   4  S     10.07   0.33   5.35        20.59  15.13        21.83   1.353   0.065   0.013   0.153   1.25   1.97       20.69   5.04       21.09
23 23 11.9  +14 54 04  708  A2593-N   5  S      8.28   0.45  26.09        22.76  13.85        24.23  99.999   0.065   0.012   0.144   0.16  33.89       24.88   5.56       21.56
23 24 25.9  +13 58 18  709  A2593-S   A  cD    34.22   0.09  11.81        19.92  12.74        21.26   1.530   0.061   0.042   0.212   0.78   5.52       20.29  12.80       20.99
23 24 49.2  +13 59 46  710  A2593-S   B  E/S0  19.11  99.99   7.44        20.10  13.93        21.52  99.999   0.061   0.041   0.203   1.15   2.17       19.65   8.33       21.03
23 24 16.4  +13 57 59  711  A2593-S   C  E/S0  17.28   0.32   2.90        18.64  14.51        19.89   1.480   0.061   0.044   0.218   0.18   3.12       20.38   1.42       19.11
23 24 31.9  +14 16 18  712  A2593-S   D  E/S0  17.73   0.16   4.41        19.34  14.29        20.75   1.511   0.061   0.037   0.184   0.14   3.69       20.48   6.96       22.62
23 23 26.8  +14 07 53  713  A2593-S   E  S     17.45   0.27   8.64        20.49  13.98        21.65   1.338   0.061   0.013   0.163   0.53  13.47       23.31   3.37       19.60
23 24 03.6  +13 56 51  714  A2593-S   F  S     11.71   0.27   4.12        19.98  15.09        21.19  99.999   0.061   0.014   0.167   1.20   1.63       20.21   3.83       20.48
23 23 55.5  +13 54 37  715  A2593-S   G  S     10.09   0.21   4.14        20.18  15.28        21.58   1.474   0.061   0.014   0.168  99.99  99.99       99.99  99.99       99.99
23 38 29.4  +27 01 53  716  A2634     A  cD    45.61  99.99  24.04        20.58  11.82        21.87  99.999   0.097   0.030   0.151   1.24   8.13       20.49  23.70       21.19
23 38 38.8  +27 00 41  717  A2634     B  E/S0  23.24   0.09   5.70        19.32  13.69        20.75   1.568   0.087   0.031   0.155   0.36   3.71       20.12   7.85       21.47
23 38 29.2  +26 58 43  718  A2634     C  E     24.24   0.29   8.07        19.83  13.44        21.24   1.535   0.087   0.032   0.159  99.99  99.99       99.99  99.99       99.99
23 38 26.8  +26 59 06  719  A2634     D  E/S0  22.50   0.23   6.91        19.74  13.68        21.06   1.533   0.087   0.036   0.180   0.90   2.95       19.98   7.30       20.67
23 38 50.7  +27 16 04  720  A2634     E  E/S0  32.54   0.17   6.77        19.06  13.05        20.40   1.635   0.097   0.031   0.155   0.31   5.00       20.09   7.47       20.83
23 37 57.8  +27 15 51  721  A2634     F  S     20.19   0.22   5.57        19.54  13.95        20.95   1.586   0.109   0.011   0.133   0.74   2.47       19.76   6.73       20.88
23 40 00.8  +27 08 01  722  A2634     G  E/S0  46.77   0.54  12.67        19.51  12.14        20.80   1.696   0.104   0.031   0.157   0.13  12.79       21.06   7.24       20.66
23 40 46.9  +26 50 07  723  A2634     H  E/S0  29.81   0.23  10.47        19.97  13.02        21.14   1.457   0.082   0.039   0.195   0.46   8.95       21.44   7.53       20.52
23 39 49.4  +27 22 33  724  A2634     I  S     23.19   0.05   7.00        19.68  13.60        21.10   1.602   0.104   0.011   0.130   0.44   4.17       20.35   9.27       21.57
23 40 19.1  +27 33 41  725  A2634     J  S     28.68   0.52   9.66        19.92  13.14        21.05   1.594   0.111   0.009   0.113   0.81   6.53       21.11   7.55       20.26
23 40 54.2  +27 30 33  726  A2634     K  S     22.94   0.18   7.92        19.92  13.57        21.26   1.536   0.111   0.011   0.130   0.93   3.23       20.08   8.44       20.85
23 38 22.7  +27 09 29  727  A2634     1  E/S0  22.18   0.30   4.64        19.06  13.86        20.47   1.534   0.097   0.032   0.160   0.50   2.63       19.65   5.94       20.80
23 38 18.5  +26 53 13  728  A2634     2  E/S0  20.96   0.30   5.19        19.32  13.89        20.82   1.551   0.087   0.031   0.157   0.46   2.84       19.81   7.99       21.51
23 44 57.3  +09 11 33  729  A2657     A  cD    16.68   0.21  18.65        21.46  13.29        22.41  99.999   0.133   0.040   0.201   3.64   4.80       21.58  13.38       21.01
23 44 44.0  +09 12 55  730  A2657     B  E/S0  16.08   0.43   3.15        18.95  14.64        20.28   1.727   0.133   0.041   0.206   0.24   2.57       20.14   3.16       20.75
23 44 30.3  +09 15 50  731  A2657     C  E/S0  22.64   0.08   6.96        19.78  13.74        20.83   1.615   0.133   0.041   0.205   0.68   8.58       22.19   3.55       19.29
23 44 27.8  +09 16 01  732  A2657     D  E/S0  12.56   0.12   2.00        18.60  15.27        19.72  99.999   0.133   0.042   0.209   0.45   1.95       20.33   1.22       18.80
23 44 24.7  +09 09 52  733  A2657     E  E/S0  17.26   0.37   7.00        20.17  14.13        21.53  99.999   0.133   0.036   0.179   0.25   5.43       21.26   8.08       22.24
23 44 16.3  +09 02 54  734  A2657     F  E/S0  19.76   0.36   6.61        19.89  13.97        21.14   1.620   0.133   0.040   0.198   0.77   3.57       20.57   6.33       20.70
23 45 01.8  +09 02 40  735  A2657     G  E/S0  12.22   0.33   2.58        19.07  15.19        20.46   1.506   0.133   0.045   0.227   0.28   1.87       20.03   3.35       21.29
23 45 17.4  +09 16 17  736  A2657     H  E/S0  18.21   0.62   8.50        20.39  13.92        21.99   1.606   0.133   0.041   0.204   0.54   3.94       20.58  14.81       22.73
23 45 40.4  +09 14 14  737  A2657     1  E/S0  13.33  99.99   4.93        20.04  14.75        21.31  99.999   0.133   0.039   0.196   0.70   2.76       20.75   4.86       20.97
23 50 58.6  +27 08 49  738  A2666     A  cD    51.97   0.34  19.33        20.03  11.72        21.38   1.549   0.080   0.027   0.136   0.29  14.65       21.10  21.10       21.85
23 50 52.3  +27 09 57  739  A2666     B  S     14.19  99.99  10.84        21.02  13.96        21.97  99.999   0.080   0.008   0.100   4.26   1.98       20.52   7.77       20.52
23 51 01.4  +27 15 26  740  A2666     C  E/S0  16.47  99.99   4.85        19.66  14.35        21.02   1.497   0.080   0.028   0.142   0.71   2.35       20.06   5.48       20.88
23 51 00.7  +27 17 20  741  A2666     D  S     14.08  99.99   4.17        19.75  14.77        20.79   1.304   0.061   0.010   0.117   1.50   2.16       20.71   3.17       19.71
23 51 30.0  +27 14 10  742  A2666     E  E/S0  21.20  99.99   6.51        19.64  13.69        21.41  99.999   0.065   0.028   0.140   0.60   2.50       19.46  14.52       22.44
12 59 07.3  +27 46 02  750  COMA     70  E/S0  18.38  99.99   3.46        18.83  14.24        20.32  99.999   0.024   0.021   0.106   0.36   2.14       19.51   5.77       21.39
12 59 08.2  +27 47 03  751  COMA     69  E/S0  24.54  99.99   5.06        18.99  13.57        20.44  99.999   0.024   0.024   0.118   0.14   4.09       20.07  10.26       22.77
12 57 32.0  +28 28 35  752  COMA    240  E/S0  48.18   2.52  16.82        19.94  11.91        21.27  99.999   0.026   0.023   0.113   0.51  10.22       20.70  18.52       21.32
12 57 34.0  +28 28 55  753  COMA    239  E/S0  33.56   1.32   9.35        19.58  12.83        20.87  99.999   0.026   0.021   0.105   0.43   6.49       20.56   9.42       20.91
12 59 03.9  +28 07 25  754  COMA    194  E/S0  31.26   3.23   7.01        19.17  13.05        20.56  99.999   0.031   0.027   0.133   0.11   6.18       20.41   8.85       22.16
12 59 13.0  +27 58 37  755  COMA    159  E     26.44  99.99   7.46        19.56  13.30        20.95  99.999   0.031   0.023   0.114  99.99  99.99       99.99  99.99       99.99
12 59 15.0  +27 58 15  756  COMA    133  E/S0  22.68  99.99   3.33        18.39  13.88        19.67  99.999   0.031   0.016   0.080   0.14   3.47       20.01   1.70       19.21
12 59 23.4  +27 54 41  757  COMA    105  E     29.37  99.99   7.71        19.43  13.10        20.82  99.999   0.031   0.023   0.116  99.99  99.99       99.99  99.99       99.99
12 57 24.3  +27 29 52  758  COMA     31  E/S0  46.66   2.09  38.18        21.27  11.47        22.74  99.999   0.014   0.025   0.123   0.06  42.33       22.95   2.46       18.49
13 01 53.8  +27 37 26  759  COMA     49  E/S0  39.93  99.99  10.75        19.49  12.44        20.93  99.999   0.024   0.026   0.131   0.70   4.87       19.74  13.41       20.94
12 59 30.5  +27 47 25  760  COMA     87  E     11.35   0.22   2.64        19.22  15.22        20.61  99.999   0.024   0.023   0.116  99.99  99.99       99.99  99.99       99.99
12 59 30.6  +27 53 03  761  COMA    103  E/S0  23.71   0.04   3.67        18.42  13.70        20.06  99.999   0.024   0.016   0.079   0.43   1.90       18.76   8.35       21.52
12 59 22.9  +27 53 49  762  COMA    106  E     14.18   0.10   2.40        18.64  14.84        20.03  99.999   0.031   0.017   0.086  99.99  99.99       99.99  99.99       99.99
12 59 19.9  +27 53 09  763  COMA    107  E/S0  13.26   0.01   4.05        19.76  14.82        20.91  99.999   0.031   0.022   0.108   0.45   3.59       21.29   2.79       20.22
13 00 39.6  +27 55 26  764  COMA    118  E/S0  23.51   0.34   5.01        19.13  13.73        20.42  99.999   0.029   0.025   0.125   0.54   3.13       19.97   5.10       20.31
12 59 35.9  +27 57 31  765  COMA    129  cD    53.65  99.99  56.44        21.48  10.83        22.57   1.536   0.029   0.024   0.120   1.55  24.28       22.06  45.37       21.55
12 59 03.9  +27 57 33  766  COMA    134  E     10.17   0.08   1.94        18.86  15.52        20.25  99.999   0.031   0.023   0.117  99.99  99.99       99.99  99.99       99.99
12 59 00.0  +27 58 03  767  COMA    135  E/S0  10.57   0.09   2.74        19.47  15.38        20.73  99.999   0.031   0.028   0.139   0.43   2.00       20.56   2.54       20.61
12 58 55.0  +27 57 52  768  COMA    136  E/S0  14.37  99.99   1.62        17.91  14.97        19.06  99.999   0.031   0.019   0.095   0.41   1.57       19.61   1.00       18.21
13 00 08.0  +27 58 35  769  COMA    148  cD    70.62   0.36  57.29        21.26  10.57        22.76   1.548   0.029   0.022   0.108   0.08  66.09       23.05   2.67       17.44
12 59 05.8  +27 59 46  770  COMA    160  E/S0  20.83   0.16   5.57        19.51  13.89        20.80  99.999   0.031   0.026   0.128   0.54   3.56       20.40   5.53       20.64
13 00 14.6  +28 02 28  771  COMA    172  E     19.03   0.38   3.29        18.68  14.19        20.07  99.999   0.029   0.019   0.096  99.99  99.99       99.99  99.99       99.99
12 59 57.8  +28 14 48  772  COMA    217  E/S0  30.69   0.43  10.61        19.90  12.88        21.33  99.999   0.034   0.023   0.112   0.41   6.50       20.61  14.45       21.92
12 59 33.9  +27 56 47  785  COMA    130  E     23.24   0.23   4.24        18.77  13.74        20.17  99.999   0.029   0.024   0.121  99.99  99.99       99.99  99.99       99.99
12 59 43.6  +27 59 39  786  COMA    153  E     15.77   0.03   3.09        18.91  14.56        20.30  99.999   0.029   0.022   0.112  99.99  99.99       99.99  99.99       99.99
12 59 44.4  +27 54 45  787  COMA    124  E/S0  22.65   0.19   3.48        18.54  13.94        19.78  99.999   0.029   0.022   0.112   0.47   2.54       19.67   3.07       19.51
12 59 42.1  +27 55 29  788  COMA    125  E     14.47   0.06   1.64        17.88  14.90        19.26  99.999   0.029   0.023   0.116  99.99  99.99       99.99  99.99       99.99
13 00 54.4  +28 00 27  789  COMA    143  E/S0  31.22   0.53  15.56        20.49  12.64        21.85  99.999   0.029   0.017   0.084   0.07  16.79       22.12   5.09       21.06
13 00 48.6  +28 05 26  790  COMA    168  E/S0  27.53   0.48   4.28        18.47  13.42        19.71  99.999   0.034   0.024   0.118   0.32   5.70       20.79   1.61       17.89
13 00 04.2  +27 59 15  791  COMA    151  E/S0  25.26  99.99   8.19        19.84  13.38        21.08  99.999   0.029   0.021   0.106   0.89   4.11       20.43   7.70       20.53
13 00 06.3  +28 00 14  792  COMA    150  E     15.79  99.99   4.07        19.40  14.45        20.79  99.999   0.029   0.024   0.121  99.99  99.99       99.99  99.99       99.99
13 00 07.7  +28 04 43  793  COMA    174  E     21.38   0.34   2.64        18.04  14.03        19.43  99.999   0.029   0.023   0.116  99.99  99.99       99.99  99.99       99.99
05 03 26.1  -20 02 38  901  P777-2    2  E/S0  27.01   0.39   6.31        19.29  13.40        20.56  99.999   0.037   0.024   0.122   0.55   4.00       20.17   6.23       20.39
